product_key,product_id,product_name,subgroup_id,subgroup_name,maingroup_id,maingroup_name
1,1232844000057,MỒNG TƠI BABY 300GR,2844,Rau CL,1234,Rau Củ Các Loại
2,1232844000064,RAU DỀN GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
4,1232844000109,RAU DỀN GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
5,1232844000110,RAU MỒNG TƠI GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
7,1232844000134,CẢI BẸ DÚN TÚI 450G - 550G,2844,Rau CL,1234,Rau Củ Các Loại
8,1232844000293,CẢI NGỒNG GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
10,1232844000599,CẢI BẸ XANH GÓI 450G - 550G,2844,Rau CL,1234,Rau Củ Các Loại
11,1232844000751,CẢI BẸ XANH GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
12,1232844000755,RAU MỒNG TƠI GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
13,1232844000833,XÀ LÁCH BÚP THUỶ CANH (CÂY),2844,Rau CL,1234,Rau Củ Các Loại
14,1232844000866,RAU HÚNG CÂY TÚI 50GR,2844,Rau CL,1234,Rau Củ Các Loại
15,1232844000953,RAU MÙI TÀU GÓI 50G,2844,Rau CL,1234,Rau Củ Các Loại
16,1232844000962,LÁ MƠ GÓI 50G,2844,Rau CL,1234,Rau Củ Các Loại
17,1232844000983,XÀ LÁCH TA TÚI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
18,1232844000986,NGÒ RÍ TÚI 50GR,2844,Rau CL,1234,Rau Củ Các Loại
19,1232844000987,RAU RĂM TÚI 50GR,2844,Rau CL,1234,Rau Củ Các Loại
37,1232844000065,RAU MUỐNG NƯỚC GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
39,1232844000107,CẢI BẸ XANH GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
40,1232844000157,XÀ LÁCH BÚP MỠ TÚI 450G - 550G,2844,Rau CL,1234,Rau Củ Các Loại
41,1232844000158,XÀ LÁCH LOLO XANH TÚI 450G - 550G,2844,Rau CL,1234,Rau Củ Các Loại
47,1232844000602,CẢI NGỌT GÓI 500GR,2844,Rau CL,1234,Rau Củ Các Loại
48,1232844000757,RAU MUỐNG NƯỚC GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
49,1232844000760,RAU CẦN NƯỚC GÓI 400G,2844,Rau CL,1234,Rau Củ Các Loại
50,1232844000780,RAU LANG GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
51,1232844000819,HÚNG QUẾ GÓI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
52,1232844000859,BÔNG BÍ NỤ VỈ 300GR,2844,Rau CL,1234,Rau Củ Các Loại
53,1232844000905,LÁ GIANG - GÓI,2844,Rau CL,1234,Rau Củ Các Loại
54,1232844000923,RAU HÚNG LỦI GÓI 50G,2844,Rau CL,1234,Rau Củ Các Loại
55,1232844000985,HÀNH LÁ TÚI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
73,1232844000112,RAU MUỐNG HẠT GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
74,1232844000255,CẢI BẸ DÚN TÚI 400G,2844,Rau CL,1234,Rau Củ Các Loại
75,1232844000618,RAU MỒNG TƠI GÓI 500GR,2844,Rau CL,1234,Rau Củ Các Loại
76,1232844000756,RAU MUỐNG HẠT GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
77,1232844000767,HÀNH LÁ GÓI 100G,2844,Rau CL,1234,Rau Củ Các Loại
78,1232844000883,HÀNH LÁ BÓ 300GR,2844,Rau CL,1234,Rau Củ Các Loại
79,1232844000906,RAU SỐNG THẬP VỊ - GÓI,2844,Rau CL,1234,Rau Củ Các Loại
80,1232844000922,RAU TẦN Ô GÓI 300G,2844,Rau CL,1234,Rau Củ Các Loại
81,1232844000954,RAU NGỔ GÓI 100G,2844,Rau CL,1234,Rau Củ Các Loại
106,1232844000070,NGÒ RÍ GÓI 50GR,2844,Rau CL,1234,Rau Củ Các Loại
108,1232844000601,CẢI NGỒNG GÓI 450G - 550G,2844,Rau CL,1234,Rau Củ Các Loại
109,1232844000743,CẦN TÀU/TA 100GR,2844,Rau CL,1234,Rau Củ Các Loại
110,1232844000747,RAU RĂM 50GR,2844,Rau CL,1234,Rau Củ Các Loại
111,1232844000752,CẢI NGỌT GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
112,1232844000753,CẢI THÌA GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
113,1232844000817,DIẾP CÁ GÓI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
115,1232844000834,XÀ LÁCH THUỶ TINH THUỶ CANH (CÂY),2844,Rau CL,1234,Rau Củ Các Loại
117,1232844000892,RAU TẦN Ô (BÓ)-OFF,2844,Rau CL,1234,Rau Củ Các Loại
118,1232844000894,XÀ LÁCH XOONG ĐL (BÓ),2844,Rau CL,1234,Rau Củ Các Loại
119,1232844000902,RAU MỒNG TƠI GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
120,1232844000903,CẢI BẸ XANH GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
121,1232844000928,GIÁ SẠCH GÓI 500G,2844,Rau CL,1234,Rau Củ Các Loại
122,1232844000963,LÁ LỐT GÓI 50G,2844,Rau CL,1234,Rau Củ Các Loại
123,1232844000980,DIẾP CÁ TÚI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
124,1232844000984,TÍA TÔ TÚI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
125,1232844000988,CẢI CON GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
140,1232844000058,RAU MUỐNG HẠT GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
146,1232844000688,RAU MUỐNG HẠT BỊCH 500G,2844,Rau CL,1234,Rau Củ Các Loại
147,1232844000745,NGÒ GAI-RAU OM 50GR,2844,Rau CL,1234,Rau Củ Các Loại
148,1232844000821,RAU NGÓT GÓI 250G,2844,Rau CL,1234,Rau Củ Các Loại
149,1232844000886,LÁ MƠ GÓI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
150,1232844000921,XÀ LÁCH LOLO XANH GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
151,1232844000978,RAU KINH GIỚI GÓI 100G,2844,Rau CL,1234,Rau Củ Các Loại
152,1232844000982,HÚNG QUẾ TÚI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
153,1232844000989,GIÁ SẠCH GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
176,1232844000056,CẢI NGỌT GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
178,1232844000103,CẢI THÌA GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
180,1232844000137,CẢI THÌA TÚI 450G - 550G,2844,Rau CL,1234,Rau Củ Các Loại
184,1232844000631,GIÁ SỐNG GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
185,1232844000675,CẢI THÌA BỊCH 300G,2844,Rau CL,1234,Rau Củ Các Loại
186,1232844000694,XÀ LÁCH XOONG ĐÀ LẠT BỊCH 300G,2844,Rau CL,1234,Rau Củ Các Loại
187,1232844000750,CẢI BẸ DÚN GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
188,1232844000754,RAU DỀN GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
189,1232844000759,CẢI NGỒNG GÓI 500G,2844,Rau CL,1234,Rau Củ Các Loại
190,1232844000771,HẸ LÁ GÓI 100G,2844,Rau CL,1234,Rau Củ Các Loại
191,1232844000825,RAU ĐẮNG GÓI 200G,2844,Rau CL,1234,Rau Củ Các Loại
192,1232844000828,RAU LANG GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
193,1232844000831,RAU MUỐNG NƯỚC GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
194,1232844000878,HÀNH LÁ - NGÒ RÍ GÓI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
195,1232844000887,XÀ LÁCH TA GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
196,1232844000898,BÔNG SÚNG - BÓ,2844,Rau CL,1234,Rau Củ Các Loại
211,1232844000108,CẢI NGỌT GÓI 400GR,2844,Rau CL,1234,Rau Củ Các Loại
214,1232844000270,CẢI SẬY,2844,Rau CL,1234,Rau Củ Các Loại
217,1232844000615,RAU DỀN GÓI 500GR,2844,Rau CL,1234,Rau Củ Các Loại
218,1232844000737,RAU MÁ 200GR,2844,Rau CL,1234,Rau Củ Các Loại
219,1232844000739,LÁ GIANG 200GR,2844,Rau CL,1234,Rau Củ Các Loại
220,1232844000818,HÚNG CÂY GÓI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
221,1232844000864,CẢI BẸ XANH KM BÓ 500GR,2844,Rau CL,1234,Rau Củ Các Loại
222,1232844000872,ĐỌT SU GÓI 300G,2844,Rau CL,1234,Rau Củ Các Loại
223,1232844000919,XÀ LÁCH BÚP MỠ GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
224,1232844000930,GIÁ MẦM SẠCH GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
245,1232844000071,HÀNH LÁ GÓI 200GR,2844,Rau CL,1234,Rau Củ Các Loại
246,1232844000113,CẢI NGỒNG GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
253,1232844000748,RAU THƠM CÁC LOẠI 200G,2844,Rau CL,1234,Rau Củ Các Loại
254,1232844000762,RAU LANG GÓI 500G.,2844,Rau CL,1234,Rau Củ Các Loại
255,1232844000785,HÀNH LÁ TÚI 100 GR,2844,Rau CL,1234,Rau Củ Các Loại
256,1232844000820,TÍA TÔ GÓI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
257,1232844000822,BÔNG ĐIÊN ĐIỂN GÓI 200G,2844,Rau CL,1234,Rau Củ Các Loại
258,1232844000862,RAU MUỐNG HẠT KM BÓ 500GR,2844,Rau CL,1234,Rau Củ Các Loại
259,1232844000893,RAU TẦN Ô- Bó,2844,Rau CL,1234,Rau Củ Các Loại
260,1232844000904,RAU NHÚT LÀM SẠCH - GÓI,2844,Rau CL,1234,Rau Củ Các Loại
261,1232844000927,XÀ LÁCH XOONG ĐL GÓI 300G,2844,Rau CL,1234,Rau Củ Các Loại
262,1232844000979,NGẢI CỨU GÓI 100G,2844,Rau CL,1234,Rau Củ Các Loại
263,1232844000981,HÚNG CÂY TÚI 100GR,2844,Rau CL,1234,Rau Củ Các Loại
675,1233020000299,THÌ LÀ GÓI 50G,2844,Rau CL,1234,Rau Củ Các Loại
678,1233020000383,CẢI BÓ XÔI GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
941,1233934000088,BÚN TƯƠI GÓI 500GR,2844,Rau CL,1234,Rau Củ Các Loại
1204,2701122047400,GIÁ SỐNG (Kg),2844,Rau CL,1234,Rau Củ Các Loại
1261,2701122047200,CẢI BẸ XANH (KG),2844,Rau CL,1234,Rau Củ Các Loại
1264,2701122050400,XÀ LÁCH LOLO XANH(KG),2844,Rau CL,1234,Rau Củ Các Loại
1266,2701122052700,RAU TẦN Ô (Kg),2844,Rau CL,1234,Rau Củ Các Loại
1267,2701122052900,NGÒ RÍ (Kg),2844,Rau CL,1234,Rau Củ Các Loại
1276,9932844000168,ĐỌT SU,2844,Rau CL,1234,Rau Củ Các Loại
1279,9932844000190,RAU TÍA TÔ,2844,Rau CL,1234,Rau Củ Các Loại
1376,2701122047600,NGÒ GAI-RAU OM,2844,Rau CL,1234,Rau Củ Các Loại
1377,2701122048000,RAU RĂM,2844,Rau CL,1234,Rau Củ Các Loại
1394,2701122047300,CẢI NGỌT (KG),2844,Rau CL,1234,Rau Củ Các Loại
1397,2701122050500,XÀ LÁCH BÚP MỠ,2844,Rau CL,1234,Rau Củ Các Loại
1398,2701122050800,HÀNH LÁ (KG),2844,Rau CL,1234,Rau Củ Các Loại
1406,9932844000009,XÀ LÁCH XOONG ĐL (Kg),2844,Rau CL,1234,Rau Củ Các Loại
1407,9932844000155,Giá đậu xanh 300gr,2844,Rau CL,1234,Rau Củ Các Loại
1408,9932844000189,RAU HÚNG QUẾ,2844,Rau CL,1234,Rau Củ Các Loại
1487,2701122060600,RAU DIẾP CÁ,2844,Rau CL,1234,Rau Củ Các Loại
1551,2701122048200,RAU DỀN,2844,Rau CL,1234,Rau Củ Các Loại
1608,2701122048300,RAU MỒNG TƠI (kg),2844,Rau CL,1234,Rau Củ Các Loại
1609,2701122050900,CẢI NGỒNG,2844,Rau CL,1234,Rau Củ Các Loại
1614,2701122060500,HẸ LÁ,2844,Rau CL,1234,Rau Củ Các Loại
1639,2701122051000,CẢI THÌA (KG),2844,Rau CL,1234,Rau Củ Các Loại
1643,8938504432077,RAU DỀN CƠM GÓI 300GR,2844,Rau CL,1234,Rau Củ Các Loại
1655,9932979000097,BÚN TƯƠI BA KHÁNH 500GR,2844,Rau CL,1234,Rau Củ Các Loại
1682,9932844000213,CẦN TÂY,2844,Rau CL,1234,Rau Củ Các Loại
1695,9933019000016,CANH CHUA SC,2844,Rau CL,1234,Rau Củ Các Loại
1700,2701122056500,CẢI BẸ DÚN,2844,Rau CL,1234,Rau Củ Các Loại
1709,9932844000170,RAU MUỐNG HẠT,2844,Rau CL,1234,Rau Củ Các Loại
1710,9932844000191,RAU HÚNG CÂY,2844,Rau CL,1234,Rau Củ Các Loại
